text_id,text,hate
ousidhoum_1,call sis im boy girl still faggot shut,2
ousidhoum_2,@user @user legit nilas retarded idk,2
ousidhoum_3,said retard @url,1
ousidhoum_4,america another 8 years obama's ideology via hillary we'd well way shithole country.,1
ousidhoum_5,@user don... fucking made cry twat.,2
ousidhoum_6,one wants 2 negro swan,2
ousidhoum_7,@user @user @user hahaha. one trump's shithole countries?,2
ousidhoum_8,u juul ur faggot,2
ousidhoum_9,@user @user even called country shithole people shithole people. sad.,2
ousidhoum_10,canadians never met seen associated person currently labelled retarded . plan @url,2
ousidhoum_11,@user @user south africa years come. keep supporting loud mouth poli @url,2
ousidhoum_12,@user i'm oprah winfrey. oprah singing faggot,2
ousidhoum_13,hahaha grow faggot @url,2
ousidhoum_14,@user michael - live one 'shithole' countries tell caravan respective @url,2
ousidhoum_15,saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,2
ousidhoum_16,dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url,0
ousidhoum_17,@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,1
ousidhoum_18,@user mexican spic dora,1
ousidhoum_19,shorty called faggot cause respond lmfaoooo,2
ousidhoum_20,@user ok maybe send finished,0
ousidhoum_21,@user cunt embarrassment club,1
ousidhoum_22,wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,2
ousidhoum_23,@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,1
ousidhoum_24,dude i'm tired retarded,2
ousidhoum_25,mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,1
ousidhoum_26,also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url,2
ousidhoum_27,pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url,2
ousidhoum_28,3 people shot armed police officers dumb twat @url,2
ousidhoum_29,@user would honduras guatemala quality shithole countries?...,2
ousidhoum_30,@user @user btw. allowed say shithole countries? also allowed say wes @url,0
ousidhoum_31,yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,2
ousidhoum_32,@user @user trump voice:nmy friend chinaman longer us #chanded,2
ousidhoum_33,bitch retarded  hate @url,2
ousidhoum_34,@user migrants.7z,2
ousidhoum_35,hetero guy: faggot bet wanna suck dick nnme: @url,2
ousidhoum_36,@user fallait pad arriver en retard,1
ousidhoum_37,using word retard form great way make lose huge amount respect you.,1
ousidhoum_38,everyone knows feminazi's r lying gd teeth @user @user @user @url,2
ousidhoum_39,@user care moral voters; want liberals illegal aliens ms13...,2
ousidhoum_40,@user still bitter cunt. much interest arsenal? player player fod us get sold.,1
ousidhoum_41,1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,0
