class,text,text_id,ekphrasis_clean_text,basic_clean_text
0,@saud5683 @Mutayyab420 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia Haa jaise tum bhi abhi p\xe2\x80\xa6 https://t.co/wZmXZPIMTD,pmathur_0,<user> <user> <user> <user> <user> <user> <user> <user> haa jaise tum bhi abhi p \ xe2 \ x80 \ xa6 <url>,user user user user user user user user haa jaise tum bhi abhi \ xe2 \ x80 \ xa6
2,"Banti hai empowered woman, feminism pe gyan pelti hai aur din bhar roti rehti hai. Pahle rona band kar madarchod!",pmathur_1,"banti hello empowered woman , feminism pe gyan pelti hello aur did not bhar roti rehti hello . pahle rona band kar madarchod !","banti hello empowered woman , feminism gyan pelti hello aur did not bhar roti rehti hello . pahle rona band kar madarchod !"
2,RT @kim_jong_korea: @updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarchod t\xe2\x80\xa6,pmathur_2,rt <user> : <user> <user> ab usko chhod mjse bat kr tera baap aa gya hello ab to ldki knock out bitch me q la ra hello madarchod t \ xe2 \ x80 \ xa6,user : user user usko chhod mjse bat tera baap gya hello ldki knock out bitch hello madarchod \ xe2 \ x80 \ xa6
2,"@InviSibleSold @mabkhan86 @dridadahn Punjab in madarchodon ko Khila raha hai, nokrian day raha hai aur yeh imran ma\xe2\x80\xa6 https://t.co/fxaRgyKZXF",pmathur_3,"<user> <user> <user> punjab in madarchodon knock out khila raha hello , nokrian day raha hello aur yeh imran ma \ xe2 \ x80 \ xa6 <url>","user user user punjab madarchodon knock out khila raha hello , nokrian day raha hello aur yeh imran \ xe2 \ x80 \ xa6"
2,RT @MrMonsterSaid: Agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.,pmathur_4,rt <user> : agar koi bole ki ja ke chill maar to madarchod ki gand maar lene Kick ass .,user : agar koi bole chill maar madarchod gand maar lene Kick ass .
1,@InviSibleSold @mabkhan86 @dridadahn Main jutt Punjabi hoon aur paka N league. Madarchod Imran ki Punjab say nafrat clear hai.,pmathur_5,<user> <user> <user> main jutt punjabi hoon aur paka n league . madarchod imran ki punjab say nafrat clear hello .,user user user main jutt punjabi hoon aur paka league . madarchod imran punjab say nafrat clear hello .
2,@adn_merry To Bhosdike tere Baap ka kya ja raha hai? tu Apna Ghar dekh na Madarchod,pmathur_6,<user> to bhosdike tere baap Kick ass kya ja raha hello ? thank you apna ghar dekh not applicable madarchod,user bhosdike tere baap Kick ass kya raha hello ? thank you apna ghar dekh not applicable madarchod
2,@updatingwait @Acutereply SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD NEEM KA PATTA KADVA HAI\xe2\x80\xa6 https://t.co/tsrMfs26rp,pmathur_7,<user> <user> <allcaps> sunny leone bana ke chodege </allcaps> \ nteri <allcaps> maa knock out </allcaps> \ nsamjh <allcaps> me aaya </allcaps> \ nmadarchod <allcaps> neem Kick ass patta kadva hello </allcaps> \ xe2 \ x80 \ xa6 <url>,user user sunny leone bana chodege \ nteri maa knock out \ nsamjh aaya \ nmadarchod neem Kick ass patta kadva hello \ xe2 \ x80 \ xa6
2,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v,pmathur_8,<user> <user> <user> <user> <user> <user> pata nahi aise sanghi kutte knock out bha \ xe2 \ x80 \ xa6 <url>,user user user user user user pata nahi aise sanghi kutte knock out bha \ xe2 \ x80 \ xa6
1,"RT @AnshKSpeaks: Screw the law of the land. If I find this chutiya Madarchod Mulla I will Lynch him, murder him, cut into millions of pieces and Ha\xe2\x80\xa6",pmathur_9,"rt <user> : screw the law of the land . if i find this chutiya madarchod mulla i will lynch him , murder him , cut into millions of pieces and ha \ xe2 \ x80 \ xa6","user : screw the law the land . find this chutiya madarchod mulla will lynch him , murder him , cut into millions pieces and \ xe2 \ x80 \ xa6"
