twitter_id,twitter_text,hate
696088960997683200,@callangal_16 cheers u ugly cunt,2
701930506573623296,@filthykizle Come to Seattle so I can get you retarded high my nigga,2
875139289872576513,@vJxke You did it wrong retard,2
711347977353355264,@Frankyonps2 literally u r a twat,2
753878458971873280,@KEEMSTAR to be honest I've never seen eye to eye with you but mousey is a twat https://t.co/ee9OBBw3Wb have you read this shit,2
736618231109177344,@charlalaa why would u fight an innocent child u nasty cunt,2
772105041893216258,"@kayleighmcenany you must be retarded, or your brain works backwards. You see everything @realDonaldTrump said is sweet. Words are not his.",2
865522514151198720,@ObamaIsPres @FoxNews you just went full retard but like all retards keep on with the zero evidence hysteria.,2
786401931048677376,@realDonaldTrump the only unfit person to run is you sorry good for nothing stupid retarded sexual abusing ass,2
777593057978028032,@SawVxr your a faggot,2
722672333920563201,@poKevSim I might stop in for chicken tenders. That's all you'll get from me you filthy twat. https://t.co/f4WAHQhAJT,2
791739245811601408,@walkercan10000 @adirenm read my original post you sad twat. MSM lies. Main Stream Media.#mccann,2
764287450613108740,"@theekid13 @IAmDewman apparently Luke rockhold and Anderson Silva are nobodies. He's a HOFer, if you disagree you're simply retarded",2
826237064840675333,@TomiCole_ you dirty faggot,2
684098569909870592,@MillyHustla @MissMidwest_ I'm not gonna argue with you. Don't be a cunt to someone you don't know anything about.,2
737748499568168962,@_Prox__ @DanNerdCubed cheaper Lego is life you ignorant cunt,2
874010359400718340,@OHSOVICTORIOUS_ @Lance210 I'm sorry but if you believe him you're pretty fucking retarded,2
774671150647484420,@SoonerUT @Squigglypuff chips you cunt,2
761995192190787584,"@pauldelaney2012 @LADFLEG so according to you I am SDLP middle class cuntbag, sad troll twat with relations in SDLP? Leave the glue alone.",2
773289744033865728,@Triperzz @asre_a lmao. U obviously   don't watch his vids if u think he plays bo3 u fucking retard 😂,2
755858443093676032,@realDonaldTrump your a faggot,2
739793298286641153,@danawhite Really Dana your banning @Ariel? How fucking sad you insecure little cunt! You went to far!,2
834806308930990083,@officialsashcx @XactyCS Listen here it was a joke you wet cunt don't start with me you know what happened last time you gave it to someone,2
782185523083436032,@leonor_raposoo @chico_vs_life run away you stupid cunt,2
848989305980821504,@steambeast14 @Censoz ur a retard.....,2
785829173692542976,@iJaaxx11 fuck em up you loose cunt,2
720945413101064192,@BlackpoolFC the fans are urging you piss off with the twat of a family,2
751118476928966656,@devinquintana11 @NicoleDawn_11 the only time anyone ever uses a your mom joke is when they are half retarded and have nothing else to say.,2
735111741999190016,@Irresistiblebis you cunt,2
776542183503650816,"@rickygervais You cunt,first wanker to mention,fucking xmass.They will be selling fucking xmass lights in stores next,you tosser.sleep well.",2
853289042183696385,@jonnygould @EmmetFloyd What about your mate kelvin Mackenzie do you think he's a cunt,2
771669492766093313,"@chedbanger @degsy86 @doughboy1967 Charlton Heston is on his knees on Limey YOU MANIACS, YOU BLEW IT UP...DAMN YOU, DAMN YOU ALL TO HELLLLLL",2
737779021539348484,"#IStandWithHateSpeech because even if I don't like what you may say, I will defend your right to say it.",2
850075056118136834,@SpeakerRyan @WhiteHouse Regs that protected consumers. Thanks for nothing you cunt,2
820840966940663808,@LAZYNUS u say much things man *pei* u are deadIm retarded,2
726015655582027776,@georgegalloway @JWhittlesElbow Get back to playing pussy cats you twat,2
684763551660138497,"@Banks Banks you cunt, i live in norway",2
862486932764229632,@Silkylinks ur not even on league whos the retard now hmm?,2
876204487882526720,@Lee_A_T @ojshore @piersmorgan Twat off you piece of shite.,2
753452036667105281,@ShadowDXS its the best OS there is you retard.,2
746024343721893893,@PaulSmithJnr @fishtheyid just a fucking joke it's real life not coronation street your a twat fisher,2
735262229432553472,"@rexhyyy u fat fuck u just killed me on hct, I was getting 20 fps and rendering a video, no fire res u cunt :(",2
696162642314948608,@Propism what a faggot lmao he stole your header,2
695982723471511552,@city9320 @SellingLikeSeth @MCFC_Corner You retarded Steve?,2
775179118581211139,"@SplitzUsaf  You called a woman I am acquainted with ""a black cunt"". In any circles, thats an unacceptable racist thing to say. Own ur shit.",2
822115620112236545,@MichaelFlatley you complete and utter bellend #Twat,2
712336105052442624,@DukeofTumwater stop stealing my oxygen you thick twat,2
752785406589100033,@TrulyRogue suck dicks you faggot :^),2
875073711912742912,@rabocseo unblock giselle you cunt why did you block her,2
737791596058542080,"#IStandWithHateSpeech because I'm known as the most malicious, impolite, inconsiderate TV hero of all time",2
734438191269285888,"@RobloxFunTime It was you retard, you're a defective simpletonic drug eating mofo",2
726324289218199553,@righttowork77 @Pops1978 bless you retard! Can't even think of your own insults!😂😂😂U actually think u r clever don't you?#bless#retard,2
716684314830835716,@Everton sack the clueless cunt you utter twats,2
775466067716104192,@ped_makaveli Are you retarded? He actually appeared in the video,2
767795847522246656,@teeSQUAARED 😂😂😂😂💀 I'm over here dieing laughing lmao ppl looking at me like I'm retarded ahahh you really be skating like a creep ahha,2
879410123143348224,@aigkenham Is the snake not a bit of a cunt in your fairytale?,2
871143498086359040,@OllieHolt22 Audrey Roberts or Emily Bishop. It's Audrey every day of the week you cunt,2
720675614513111044,@ChrisZenith_ it's funny because I'm in a group chat that is dedicated to screen shotting your retarded tweets and roasting you 😂😂,2
777765339014701057,"@xo_haumeamaay Go to sleep you cunt nugget, pass your bed time",2
735290587105132545,@CRISSHIMMY you a dyke,2
779039853782654976,@SassoOfficial STOP SENDING FUCKING SHORTCUTS U CUNT,2
717962633840734208,@lyssssiee I got you faggot,2
833066062862237696,@TonyBellew all be worth it when you smash that gobby cunt up!!,2
827869353769041921,@rocharger14 @shesalittleodd @Newgrounds You are actually fucking retarded.,2
731601499625771008,@jacobsartorius BLOCK YOU FUCKING TWAT,2
706137070532763648,@POMFRETT_ fuck off you cunt,2
720718144772382720,@benward93 get that tattoo you cunt!!,2
726940008859459585,@teamMANNY_ Nigger You Ain't Call Me,2
700454593898086400,@blackwell_03 you are a faggot,2
749287164085571584,@smolbeansuggx HAPPY BIRTHDAY U UGLY CUNT 💞 LOVE U ALWAYS 😘🎈,2
839207568295792641,"@jeremycorbyn said the man who failed to choose a side when it really mattered, go hang your head in shame you yellow bellied twat.",2
757072106911772673,@favesphan u cunt stop the bee,2
867935526623608833,@okasparx @GabsVictoriaa my dude you @'d her... are you fucking retarded?,2
822929629648392192,@AmyMek shut the fuck up! You ignorant cunt https://t.co/GBPXc95co0,2
762792453887909888,@MinoRaiola @FutboIAdam you fat greedy cunt,2
873012542854934529,"@TRobinsonNewEra You are a f ing racist twat, with a very very low IQ! In bed with European Nazis whom my grandpare… https://t.co/8Y9ONcz4Kj",2
718800920000073728,@KustardBot @itsDrexmz_ yet ur the one shat it in first map lol fuck outta here cunt,2
716446812354154496,"@ImZack know how you feel man, people are just retarded",2
787852862445543424,"@realDonaldTrump U need help, U R unwell, U R unstable, emotionally retarded, delusional, psychotic, paranoid. UR a danger to others.",2
769193158907486208,@JulieBorowski ummm..... female != maleAre you retarded?,2
