text_id,text,hate
semeval2019_3292," #Myanmar doesn't want to see the #Rohingya return home, so after destroying our homes they are now occupying our land. https://t.co/l3RuaU4XM4 #persecution #humanrights #ucanews @ucanbd @bd_rock @Johnzaw @OpRohingya @rohingyablogger @FortifyRights @ProtectRohingya @UNmigration",0
semeval2019_8640, 'Foster mum saying 'European women are stupid alcoholics' is the basic attitude of her culture's numerous rape gangs https://t.co/UvqQTs0tPg,1
semeval2019_6240," - beautiful women, and handsome men are less likely to be admonished by women for their advances. However, by empowering anti -rape -",1
semeval2019_30554," WHAT THE FUCK--     The spoon got stuck in his hair.    "" BITCH DON'T BE DRAMATIC THERE'S NO HOLE OR BLOOD. """,0
semeval2019_18866,"!@elenakoshkaxoxo will do anything to be a member of your guild, you can use her up, she loves to choke on cocks and her pussy stays wet all day! Your mission is to prove that you are a sword slinger !",1
semeval2019_34058,"""#Refugee"" said ""I'll kill 10s of you, and then I go back. I can EAT HUMANS NOW."" those #Rapefugees are #invaders, #pedophiles, #terrorists, #rapists, #cannibals, #jewish servants,!! #Islam is not a #ReligionOfPeace !#WhitePeople WAKE UP.!",1
semeval2019_31303,"""#refugee"" said ""I will kill 10s of you and then go back"" ""I can eat humans now"" #Islam is not a #ReligionOfPeace - those #rapefugees are #invaders, #pedophiles, #terrorists, #cannibals, #jewish servants. They're here to exterminate #WhitePeople",1
semeval2019_34429,"""Dreamers"" are not Americans, they are illegals.#DeportThemAllSouthern California HS football game sparks race debate, fans asked to stop chanting 'USA! USA!'",1
semeval2019_30563,"""Fascists bastards, Salvini and all you people I spit in your face"" the cultural enrichment of immigration.#stopimmigration #Salvini",1
semeval2019_33846,"""Identify Native 2020 Census"" is bollocks. Yes, Mestizos are Indians, and their kind was here first. It doesn't mean shit though, as the Europeans built a far more advanced civilization than the Indians ever could dream of. #BuildTheWall #DeportThemAll #KAG #SupportICE",1
semeval2019_30360,"""There will be NO #Amnesty"" was @POTUS CLEAR Campaign PROMiSE made at his WELL PUBLICIZED ""Arizona Speech"" so #Trump MUST HONOR that promise & CANCEL #OBAMA's #illegalAlien #DACA EO & also VETO any #GOPe #Amnesty =>#NoDACA or NO 2020 Nomination for ANYONE",1
semeval2019_30220,"""We stand with Dreamers"" Yeah? Go stand with them in their home countries. Undocumented and Unafraid is Unacceptable. #BuildTheWall #DeportThemAll #EnoughIsEnough",1
semeval2019_670,#2baba #with refugees in company of deputy Representative Brigitte Eno Mukanga appeals for IDP support in Nigeria https://t.co/wgg5ZFU4FY,0
semeval2019_1042,"#35A is a perfect Karmic slap on the faces of regionalists in India. If you keep insisting on regional identity, you’ll end up getting Allah Hu Akbar. Each time. EVERY TIME.",0
semeval2019_32434,"#50CentFrostyFilms Look At My Half Dollar PopSicle, Bitch.... Grape",0
semeval2019_31574,#9/11 anniversary #foxnews #BuildThatWall i worked in midtown manhattan while the world trade center was being constructed. I had friends who were iron workers on the project. i would sometimes travel to lower manhattan to have lunch with friends & to watch the WTC construction.,0
semeval2019_3754,"#ABVPThugs beat up teachers and students merely got exercising their freedom of expression. ABVP DUSU President brought GUNS into DUSU. And like true goons, won't let @nsui launch a magazine! #ABVPGoonsWithGuns #SendThemHome https://t.co/trjfJMYQmf",0
semeval2019_1193,#ACTNOW! #USA #EB5 #EB5Visa #Immigrant #Foreign #Investor #Visa Program Laws ARE Changing! $500k #Investment. Payment plans available. Use #bitcoin #ether #cryptocurrency. Become a US Citizen! Visit us at https://t.co/wHkC35kGrX. Contact us TODAY at gbibuildingco@outlook.com. RT https://t.co/sr85K6gF2P,0
semeval2019_4193,"#AbolishICE Prosecute those responsible for the implementation of inhumane, un-American (and ultimately pointless) policies. #Immigration #PoliceState #Impeach45 @realDonaldTrump @SecNielsen @ICEgov @DHSgov https://t.co/z4NtJe1B92",0
semeval2019_30644,"#AbolishICE. Grant amnesty to all of these illegal mestizo invaders, and watch them breed like rats and overwhelm existing structures, turning America into a third world country. Just the unlucky Argentines. #KAG #SupportICE #BuildTheWall #DeportThemAll",1
semeval2019_1242,#AdultEduMatters because it plays a key role in helping immigrants gain language skills and become economically successful.     From out friends at  Chicago City Literacy Coalition’s (CCLC). https://t.co/7mY64ThcEF,0
semeval2019_1199,#African migrants living in #Russia play #soccer on Red Square  #Russia2018  #Red_Squarehttps://t.co/BMzEWoAKzX https://t.co/aAzJ7FFWTO,0
semeval2019_31652,"#AmericaFirst #Trump2020 #BuildTheWall #RaiseAct #EndDACA #MAGA #Veterans #BlueLivesMatter If you don't agree, I DON""T CARE!",0
semeval2019_2242,#Antifa #AntiFreedomFighters #Antifrees #NaziLeft #AntiAntifa #AntifaTerrorists #AntiWhite #WhitePeople #WhiteGenocide #WhiteMen #WhiteAmerica #ItsOkayToBeWhite #ItsOKtobeWhite #WhitePride #WhiteIdentity #FreeSpeech #StopWhiteGenocide #StopTheInvasion #RedWaveRising2018 #RedWave https://t.co/ERPQ55AXN3,0
semeval2019_3711,#BBC Presenter Loses #EU Immigration Debate With Hungarian Politician https://t.co/t4wj6P535o via @YouTube,0
semeval2019_31223,#BUILDTHATWALL#MAGA||||||||||||||||||||||||||||||| _| .) Trump is your President.| |,0
semeval2019_33573,#BUILDthatWALL #MAGA #KAG#Trump: I could use #MILITARY to build my #WALL if Congress plays tough via @MailOnline,0
semeval2019_32096,#BanRapefugees #BanIslamInTheUS Ten-Year-Old German Boy Raped by Migrant Classmates on School Trip via @BreitbartNews,1
semeval2019_30541,"#Bangladesh minister claims on TV, India did not raise refugee or #Illegalimmigrants issue with them for 70 years since independence. Why? Cos it suited n helped @INCIndia ? #TrinamoolCongress",0
semeval2019_1378,#Bangladesh releases first list of #Rohingya #refugees for repatriation to their strife-torn home in #Myanmar https://t.co/WDjjLLjS8q @StephanUttom @bd_rock @ucanbd @UNmigration @IOMatUN,0
semeval2019_31905,#BarackObama is a lying #degenerate #SocialismSucks #SocialJustice#snowflakes #EndDACA#ObamaLegacy #Federalist69 #unmaskANTIFA #MSM #FakeNews #EnemyOfThePeople #WeaponOfMassDeception,0
semeval2019_3564,#BasketOfDeplorables #IllegalImmigration #Liberals #Sexist #RacistConfessions of a ‘˜Deplorable’ AmericanOn... https://t.co/CjIbg6nxYW,0
semeval2019_1149,"#BeBestMyAss This  week - I want my supporters to wear shorts or skirts that read, ""Be  Best"" on the back - synonym for ""Be Best My Ass!"" Let's be ridiculous (film your ass shaking) @FLOTUS lacks sensitivity towards immigrant children! Photo Credit: theGrio https://t.co/poBwKtI1oy",0
semeval2019_1624,#BlackTwitter #WalkAwayFromDemocrats  #WalkAway #VoteDemsOut  #SundayMornibg #AMJoy  #Immigration https://t.co/3XF89pQc34,0
semeval2019_4598,#BorderPatrol #IllegalImmigration #IllegalAliens #ImmigrationThere should not be any doubt that Liberal... https://t.co/GlhHgyGak4,0
semeval2019_527,"#BorderSecurity #BorderPatrol #Immigration #Undocumented #Aliens#PresidentTrump has signed an Executive Order ending #CatchAndRelease.  This is a huge, Catch and Release has been a... https://t.co/t5sgjrLuKe",0
semeval2019_32678,"#BozoBeto Says, He's The Best 4 TX He's For:*Ending #ICE*Open Borders*Legalizing DRUGS*Ending Immigration Laws4 MS-13 Gang Members BRUTALLY Hacked An Informant To Death W/A Machete In TX!#BuildThatWall#VetoBeto#KeepTexasRed #ChooseCruz",0
semeval2019_733,"#BozoBeto Says, He's The Best 4 TX He's For:*Ending #ICE*Open Borders*Legalizing DRUGS*Ending Immigration Laws4 MS-13 Gang Members BRUTALLY Hacked An Informant To Death W/A Machete In TX!#BuildThatWall#VetoBeto#KeepTexasRed #ChooseCruz",1
semeval2019_2114,"#BringBackOurBorders #HillaryClinton #IllegalImmigration #Clinton#Democrats could EASILY fix the problem with ‘˜separating children’ if they desired, but they really don’t care about the... https://t.co/JtqJciFsTA",0
semeval2019_3212,#Brooklyn artist creates immigrant version of classic 'Life' board game https://t.co/YKO56KXWnf via @JoeMauceriPIX11,0
semeval2019_31376,#BuildThatWall  #KAG & Safe!,0
semeval2019_1233,#BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall BUILD THAT EFFEN WALL!I'm sorry my Lord #Jesus but people are just deaf down here,1
semeval2019_4560,#BuildThatWall #BuildTheWall @HouseGOP @SenateGOP help @POTUS #NationalSecurity #IllegalAliens #crime,1
semeval2019_709,"#BuildThatWall #IllegalAliens @ICEgov .@EXPECT_KA0S Eric Lang, CEO Yarrabee Farms admitted did not use EVerify for this killer or workers. Tell AG .@jeffsessions to get off his behind work on getting EVerify mandatory 4all jobs. Hopefully ICE raids YarebeeFarms as regular visit",1
semeval2019_2094,#BuildThatWall #IllegalImmigration get these people the hell out of our country,1
semeval2019_3816,#BuildThatWall #Meritbased get the ILLEGAL situation under control. ILLEGAL is ILLEGAL. #MAGA #AMERICAFIRST #BacktheBlue #ICE #Respect,1
semeval2019_616,"#BuildThatWall #ReleaseFisaReports, #BuildThatWall, @ReleaseFisaReports, please now Mr President, it will shut the Dems up! @realDonaldTrump. I am tired of the abuse you and #FLOTUS. #ReleaseTheUnredactedFisaReports now! You are our President, you can do it!",1
semeval2019_31503,#BuildThatWall #fbicorruption needs to stop trying to keep hillary and Obama out of jail and do their jobs.,0
semeval2019_30590,#BuildThatWall . #ICE SHOULD BE COMMENDED EVERY HOUR.,1
semeval2019_33740,#BuildThatWall @realDonaldTrump Thank you for what you have accomplished!,0
semeval2019_18413,#BuildThatWall ALREADY,1
semeval2019_1205,"#BuildThatWall Go around them. The money is already in the Pentagon and DHS, It's what our military did for decades, if not more than a century of erecting forts and walls to defend the country, and it's a valid response to an invasion.",1
semeval2019_33837,"#BuildThatWall Go around them. The money is already in the Pentagon and DHS, It's what our military did for decades, if not more than a century of erecting forts and walls to defend the country, and it's a valid response to an invasion.",1
semeval2019_34172,"#BuildThatWall If POTUS has executive power to fund and build the wall to keep illegals out, WE ALL Stand behind him to take that power and use it to his fullest potential to BUILD THE WALL already Sick of Illegals and the BS that goes with it from MSM Fake News",1
semeval2019_31619,"#BuildThatWall Jessica Vaughan, the Center's Director of Policy Studies, discusses a push by some politicians to decriminalize the entry of illegal aliens along the southwest border.",0
semeval2019_4674,"#BuildThatWall NOW.I am tired of the conversation.So tired of @gop refusing to #BuildThatWall.@GOP, think we won't remember?",1
semeval2019_33071,#BuildThatWall Put Money Where Your Mouth Is Sir. They Pour In.,0
semeval2019_624,#BuildThatWall Stop The Illegal Invasion !  #NoDACA #NoAmnesty #Trump #MAGA #immigration https://t.co/wyFPjTVeHK,1
semeval2019_32791,#BuildThatWall Ted Cruz has a plan on how to help Republicans win BIG in November!,0
semeval2019_1874,"#BuildThatWall Thank you, @POTUS Trump & OUR glorious MILITARY! ****** Trump Rolls Out a BRILLIANT Plan The Military Will Build His Wall! via @truthfeednews",1
semeval2019_440,#BuildThatWall We can't afford any more dummies who can't make it on their own.,1
semeval2019_33716,#BuildThatWall We can't afford any more dummies who can't make it on their own.,1
semeval2019_32507,"#BuildThatWall and call them what they are: ILLEGAL ALIENS Suspects, victim in Sanilac County homicide are undocumented immigrants",1
semeval2019_2188,"#BuildThatWall and then extend it to Wall, J, & K Streets. #DrainTheSwamp",1
semeval2019_3094,#BuildThatWall is all about homeland security and an open border clearly leaves Americans less safe. Makes sense to use our military to protect us by building a wall.,1
semeval2019_33080,#BuildThatWall is all about homeland security and an open border clearly leaves Americans less safe. Makes sense to use our military to protect us by building a wall.,1
semeval2019_18362,#BuildThatWall more jobs than workers/Guest Worker Prg Needed- support #everify #savesmallbusinesses #stophiringillegals #saveh2b @realDonaldTrump @SecNielsen @SecretaryAcosta @JohnCornyn @GrassleyWorks @SenThomTillis @SenateMajLdr @SenShelby @GOP,1
semeval2019_18335,"#BuildThatWall to #KeepAmericaSafe , #BuildTheWall to save lives , #MAGA2KAG",1
semeval2019_30224,#BuildThatWall yes do whatever you can but get it built #AmericaFirst,0
semeval2019_30101,#BuildThatWallCARTEL- 166 SKULLS FOUND IN MASS BURIAL PIT IN MEXICO: OFFICIALS,0
semeval2019_30319,#BuildThatWallNow I do not want those vile thugs in our country! #EndChainMigration #EndSanctuaryCities #EndVisaLottery #AngelFamlies,1
semeval2019_793,#BuildThatWallNow I do not want those vile thugs in our country! #EndChainMigration #EndSanctuaryCities #EndVisaLottery #AngelFamlies,1
semeval2019_2418,#BuildThatWallThis is like an army of men coming thru to the USA Looks like new camouflage clothes on them and drugs coming in! @realDonaldTrump @seanhannity,1
semeval2019_33335,#BuildThatWallThis is like an army of men coming thru to the USA Looks like new camouflage clothes on them and drugs coming in! @realDonaldTrump @seanhannity,1
semeval2019_2074,"#BuildThatwall #ICE ICE can not have a zero tolerance policy at the Boarder while they let EB5 Immigrant commit fraud and harm US citizens to gain permanent residency in the US. See print, sign, and mail 2 Dir. Vitiello support us - RT",1
semeval2019_31803,#BuildTheDamnWalland keep this criminal trash out of USA #NoDACA #2A,1
semeval2019_2644,"#BuildTheWall #EndChainMigration CALL, TWEET, EMAIL your representatives TODAY! Say you are willing to support a government shutdown or whatever it takes to SECURE OUR BORDERS!Let those elitists and RINOs know who is in charge!",1
semeval2019_31283,#BuildTheWall #TravelBan make it permanent! #NoWelfareForIllegals #NoDACA #Deport #WalkAway,0
semeval2019_31611,#BuildTheWall National Security @POTUS @realDonaldTrump @vp @Jim_Jordan @RepMarkMeadows @SteveKingIA @replouiegohmert @RandPaul @SenMikeLee @SenTomCotton #NoDACAdeal #NoAmnesty #MandateEverify #EndChainMigration #MAGA #MakeDCListen,0
semeval2019_34227,#BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #Deport all illegals and their families - #NoDACA #NoAmnesty - #ProudAmerica #AmericaFirst #VoteRed,1
