hate,text,text_id
0,@saud5683 @Mutayyab420 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia Haa jaise tum bhi abhi p\xe2\x80\xa6 https://t.co/wZmXZPIMTD,pmathur_0
2,"Banti hai empowered woman, feminism pe gyan pelti hai aur din bhar roti rehti hai. Pahle rona band kar madarchod!",pmathur_1
2,RT @kim_jong_korea: @updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarchod t\xe2\x80\xa6,pmathur_2
2,"@InviSibleSold @mabkhan86 @dridadahn Punjab in madarchodon ko Khila raha hai, nokrian day raha hai aur yeh imran ma\xe2\x80\xa6 https://t.co/fxaRgyKZXF",pmathur_3
2,RT @MrMonsterSaid: Agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.,pmathur_4
1,@InviSibleSold @mabkhan86 @dridadahn Main jutt Punjabi hoon aur paka N league. Madarchod Imran ki Punjab say nafrat clear hai.,pmathur_5
2,@adn_merry To Bhosdike tere Baap ka kya ja raha hai? tu Apna Ghar dekh na Madarchod,pmathur_6
2,@updatingwait @Acutereply SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD NEEM KA PATTA KADVA HAI\xe2\x80\xa6 https://t.co/tsrMfs26rp,pmathur_7
2,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v,pmathur_8
1,"RT @AnshKSpeaks: Screw the law of the land. If I find this chutiya Madarchod Mulla I will Lynch him, murder him, cut into millions of pieces and Ha\xe2\x80\xa6",pmathur_9
0,A boy donated blood to his gf !\n\nTwo months later they broke up ?\n\nBoy- mujhe mera khoon lauta de !! \n\nGirl- (throw\xe2\x80\xa6 https://t.co/0Ik5oBqSDb,pmathur_10
2,@SHARIQSAM @imjadeja @RoflGandhi_ Bc madarchod South Africa England main @imjadeja Man of the match award le chuke\xe2\x80\xa6 https://t.co/hGTCrbEDPB,pmathur_11
2,"@INCIndia Madarchod congresi or Bjp dono ki sarkar bani baad me  wade bhul gye"" Rajasthan me hamri City tak singal\xe2\x80\xa6 https://t.co/4LCITdwiVc",pmathur_12
2,Madarchod socialify wale log \xf0\x9f\x98\xa1,pmathur_13
2,@abdullah_lagh @MehrTarar Madarchod kya hai yeh,pmathur_14
2,"@Acutereply @updatingwait [12/12, 13:23] : SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD\n[12/12,\xe2\x80\xa6 https://t.co/YgvC2u0qYK",pmathur_15
2,RT @ISMATKH01427041: @ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,pmathur_16
2,@m_sukhwal @aajtak Teri maa Behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.,pmathur_17
2,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh Deewar superhit nai aaj ke time ke hisaab se ATBB hai chutye dont compa\xe2\x80\xa6 https://t.co/52ENgEeb67,pmathur_18
1,"*Virat and Anushka's future kid*\n\nAnushka: Mamma bolo beta, mammaaaa\n\nKid: Mm.. Ma.. Maa.. Madarchod!",pmathur_19
1,@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand Madarchod brahmno se mafi mango,pmathur_20
2,@LmRajpt @imjadeja @RoflGandhi_ Suwar ke bache ..madar chod..Teri maa ki chut me..ghungru bajaunga madarchod...bhar\xe2\x80\xa6 https://t.co/bFTERvXNoQ,pmathur_21
2,@HornyGlF Fuck off! Chal bhag yahan se madarchod,pmathur_22
2,@LogicalGabbar @imjadeja Teri maa ko our Ben ko chudva sale benchod .... madarchod....Gabbar,pmathur_23
2,I have to say this madarchod @Twitter @TwitterIndia i created multiple accounts and you locked all accounts &amp,pmathur_24
2,@I_Daredevil @ElahiHiba Ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod\nBawasir c shakal ki h ye\nAnd bhokti\xe2\x80\xa6 https://t.co/zcYFxTLXe5,pmathur_25
2,@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia kidhar chupe hai re madarchod peta wale gandu log.?,pmathur_26
2,@KRKActor1 tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha 1 No ka madarchod\xe2\x80\xa6 https://t.co/m7nBRT1yUR,pmathur_27
2,@matchmyvibe_  madarchod maar dalo,pmathur_28
2,@jeevanblog1 Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe2\x80\xa6 https://t.co/G8Vw51FXUA,pmathur_29
1,@NANGI_POOJA Madarchod musalman aaiysha aur wo hai,pmathur_30
2,@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....,pmathur_31
2,Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/2tFNvDDe25,pmathur_32
2,@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main,pmathur_33
1,@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,pmathur_34
2,@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe2\x80\xa6 https://t.co/PjvpGURUuz,pmathur_35
2,"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe2\x80\xa6 https://t.co/0iFjBqmb3W",pmathur_36
1,"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors.",pmathur_37
2,@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe2\x80\xa6 https://t.co/2RRcR2QQCd,pmathur_38
2,Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe2\x80\xa6 https://t.co/dJxNCXHsyh,pmathur_39
2,@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod,pmathur_40
2,@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja,pmathur_41
2,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....,pmathur_42
2,@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe2\x80\xa6 https://t.co/aRTpVwrqw6,pmathur_43
2,"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3",pmathur_44
2,@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.,pmathur_45
2,@PiranhaBlowjob Madarchod jalta hai mujhse ?,pmathur_46
